customer_last_name,film_list
AQUINO,"AFFAIR PREJUDICE,ALTER VICTORY,DROP WATERFRONT,DRUMS DYNAMITE,EGYPT TENENBAUMS,ENEMY ODDS,HOPE TOOTSIE,LONELY ELEPHANT,MAIDEN HOME,MEET CHOCOLATE,MIGHTY LUCK,NATIONAL STORY,OPEN AFRICAN,OUTBREAK DIVINE,PITTSBURGH HUNCHBACK,PREJUDICE OLEANDER,RUSH GOODFELLAS,SHOOTIST SUPERFLY,STRAIGHT HOURS,STREETCAR INTENTIONS"
ARCE,"ALLEY EVOLUTION,BADMAN DAWN,BOILED DARES,COMA HEAD,CRAZY HOME,DARN FORRESTER,DAY UNFAITHFUL,DEEP CRUSADE,DESIRE ALIEN,DUDE BLINDNESS,ENEMY ODDS,FROST HEAD,GUNFIGHTER MUSSOLINI,HOOK CHARIOTS,HUNCHBACK IMPOSSIBLE,JASON TRAP,KWAI HOMEWARD,KWAI HOMEWARD,MILE MULAN,MOON BUNCH,MOONSHINE CABIN,PINOCCHIO SIMON,POND SEATTLE,RUNAWAY TENENBAUMS,SABRINA MIDNIGHT,SAMURAI LION,SEARCHERS WAIT,SPIRIT FLINTSTONES,STEEL SANTA,STRANGER STRANGERS,SUBMARINE BED,TRACY CIDER,UNCUT SUICIDES,UNDEFEATED DALMATIONS,WONDERLAND CHRISTMAS"
ARCHULETA,"AFFAIR PREJUDICE,ALTER VICTORY,AMISTAD MIDSUMMER,BOILED DARES,BOILED DARES,CARIBBEAN LIBERTY,COLOR PHILADELPHIA,CONVERSATION DOWNHILL,DIVIDE MONSTER,DRAGON SQUAD,EVE RESURRECTION,EXPRESS LONELY,FORREST SONS,GIANT TROOPERS,HEAVEN FREEDOM,HOPE TOOTSIE,LORD ARIZONA,MATRIX SNOWMAN,MENAGERIE RUSHMORE,MOCKINGBIRD HOLLYWOOD,MOVIE SHAKESPEARE,NASH CHOCOLAT,PAYCHECK WAIT,PIANIST OUTFIELD,SANTA PARIS,SIDE ARK,SLUMS DUCK,SUPER WYOMING,TREATMENT JEKYLL,WOMEN DORADO"
ARMSTRONG,"AMERICAN CIRCUS,BASIC EASY,BERETS AGENT,BORROWERS BEDAZZLED,CARRIE BUNCH,CONFESSIONS MAGUIRE,CRAFT OUTFIELD,DOLLS RAGE,ENEMY ODDS,FREDDY STORM,FRENCH HOLIDAY,INTENTIONS EMPIRE,NATIONAL STORY,OPERATION OPERATION,OPERATION OPERATION,PATHS CONTROL,PEACH INNOCENT,QUEEN LUKE,RANGE MOONWALKER,RESURRECTION SILVERADO,SHANGHAI TYCOON,STAGE WORLD,STEPMOM DREAM,TOURIST PELICAN,WEEKEND PERSONAL"
ARNOLD,"ACADEMY DINOSAUR,BALLOON HOMEWARD,BINGO TALENTED,BLINDNESS GUN,CAPER MOTIONS,CURTAIN VIDEOTAPE,DAISY MENAGERIE,DOLLS RAGE,FLAMINGOS CONNECTICUT,FREDDY STORM,HARRY IDAHO,ILLUSION AMELIE,KNOCK WARLOCK,MOVIE SHAKESPEARE,OUTLAW HANKY,PAST SUICIDES,PIANIST OUTFIELD,REDEMPTION COMFORTS,RESERVOIR ADAPTATION,RESURRECTION SILVERADO,RIGHT CRANES,ROUGE SQUAD,SWEET BROTHERHOOD,TALENTED HOMICIDE,THIEF PELICAN,TIES HUNGER"
ARSENAULT,"BEVERLY OUTLAW,BLADE POLISH,BROOKLYN DESERT,CAT CONEHEADS,CONNECTICUT TRAMP,CRUSADE HONEY,DETAILS PACKER,DINOSAUR SECRETARY,GROOVE FICTION,GUNFIGHTER MUSSOLINI,HARPER DYING,INCH JET,JACKET FRISCO,MERMAID INSECTS,MINE TITANS,OPERATION OPERATION,PACKER MADIGAN,PEAK FOREVER,PIRATES ROXANNE,RAGING AIRPLANE,ROMAN PUNK,SLACKER LIAISONS,SLACKER LIAISONS,STREAK RIDGEMONT,TELEMARK HEARTBREAKERS,TYCOON GATHERING,WONDERLAND CHRISTMAS"
ARTIS,"ACADEMY DINOSAUR,BOWFINGER GABLES,CALENDAR GUNFIGHT,CLOSER BANG,CONVERSATION DOWNHILL,CROSSROADS CASUALTIES,ELEMENT FREDDY,EXPRESS LONELY,FIDELITY DEVIL,GRAFFITI LOVE,GREATEST NORTH,HOURS RAGE,MAIDEN HOME,MARRIED GO,MASSAGE IMAGE,PACIFIC AMISTAD,PAJAMA JAWBREAKER,RULES HUMAN,SEVEN SWARM,TEEN APOLLO,TITANIC BOONDOCK,VALLEY PACKER,YENTL IDAHO"
ASHCRAFT,"BARBARELLA STREETCAR,BLADE POLISH,CONGENIALITY QUEST,DEEP CRUSADE,ENOUGH RAGING,FALCON VOLUME,FIGHT JAWBREAKER,GOODFELLAS SALUTE,GRAPES FURY,GRIT CLOCKWORK,LOVELY JINGLE,MOON BUNCH,MUSIC BOONDOCK,ORANGE GRAPES,PIANIST OUTFIELD,POSEIDON FOREVER,PUNK DIVORCE,PURE RUNNER,ROBBERS JOON,SHIP WONDERLAND,SLUMS DUCK,SUBMARINE BED,WATERSHIP FRONTIER"
ASHER,"APOCALYPSE FLAMINGOS,BEACH HEARTBREAKERS,CAUSE DATE,CLONES PINOCCHIO,DAUGHTER MADIGAN,DRACULA CRYSTAL,ENCINO ELF,FALCON VOLUME,HANKY OCTOBER,HARRY IDAHO,HEAVYWEIGHTS BEAST,HILLS NEIGHBORS,LOSER HUSTLER,MASK PEACH,MOSQUITO ARMAGEDDON,OPEN AFRICAN,OPERATION OPERATION,OZ LIAISONS,QUEEN LUKE,SILVERADO GOLDFINGER,SLEEPING SUSPECTS,SNATCHERS MONTEZUMA,TOWN ARK,WRONG BEHAVIOR"
AUSTIN,"BIRDS PERDITION,BRANNIGAN SUNRISE,CIDER DESIRE,CONVERSATION DOWNHILL,DECEIVER BETRAYED,DIVINE RESURRECTION,DOGMA FAMILY,DRAGONFLY STRANGERS,EXORCIST STING,FANTASY TROOPERS,FERRIS MOTHER,FLYING HOOK,FLYING HOOK,HALF OUTFIELD,HOOK CHARIOTS,IDOLS SNATCHERS,JUGGLER HARDLY,MADRE GABLES,MONTEZUMA COMMAND,NEWTON LABYRINTH,NIGHTMARE CHILL,OCTOBER SUBMARINE,PACKER MADIGAN,PARADISE SABRINA,PEACH INNOCENT,ROCKETEER MOTHER,SHOW LORD,SMOKING BARBARELLA,SNOWMAN ROLLERCOASTER,SPLENDOR PATTON,SUGAR WONKA,TROJAN TOMORROW,TYCOON GATHERING,UNITED PILOT,WATERFRONT DELIVERANCE"
BAILEY,"BOOGIE AMELIE,BOUND CHEAPER,CASABLANCA SUPER,CHAMBER ITALIAN,CROOKED FROGMEN,GREATEST NORTH,HELLFIGHTERS SIERRA,IMAGE PRINCESS,JERICHO MULAN,JOON NORTHWEST,KANE EXORCIST,MAGNOLIA FORRESTER,MASK PEACH,MOCKINGBIRD HOLLYWOOD,MONTEZUMA COMMAND,MOTIONS DETAILS,OUTBREAK DIVINE,REIGN GENTLEMEN,SEABISCUIT PUNK,SHEPHERD MIDSUMMER,SINNERS ATLANTIS,SPICE SORORITY,SUPER WYOMING,TRIP NEWTON,WIFE TURN"
BAKER,"ANACONDA CONFESSIONS,ARMAGEDDON LOST,BEAST HUNCHBACK,CANDIDATE PERDITION,CAPER MOTIONS,CIDER DESIRE,COAST RAINBOW,CORE SUIT,CURTAIN VIDEOTAPE,DAWN POND,FIREBALL PHILADELPHIA,HEAVEN FREEDOM,HOURS RAGE,ICE CROSSING,MASKED BUBBLE,ORIENT CLOSER,SATURDAY LAMBS,SLEEPY JAPANESE,SUN CONFESSIONS,UNFAITHFUL KILL,WORDS HUNTER,ZOOLANDER FICTION,ZORRO ARK"
BALES,"BENEATH RUSH,BUTTERFLY CHOCOLAT,CAT CONEHEADS,CHAMPION FLATLINERS,CLONES PINOCCHIO,CRAZY HOME,CROSSROADS CASUALTIES,DRUMS DYNAMITE,FIREBALL PHILADELPHIA,FROST HEAD,GREATEST NORTH,HIGHBALL POTTER,HORN WORKING,INTERVIEW LIAISONS,JINGLE SAGEBRUSH,LABYRINTH LEAGUE,METROPOLIS COMA,MUSKETEERS WAIT,OLEANDER CLUE,OPPOSITE NECKLACE,PATIENT SISTER,RUNNER MADIGAN,SLEEPLESS MONSOON,SUGAR WONKA,SWEETHEARTS SUSPECTS,TRIP NEWTON,WRONG BEHAVIOR"
BANDA,"AMADEUS HOLY,BLOOD ARGONAUTS,BUCKET BROTHERHOOD,CLUB GRAFFITI,DECEIVER BETRAYED,DEER VIRGINIAN,EGG IGBY,ENOUGH RAGING,EVOLUTION ALTER,GABLES METROPOLIS,GANGS PRIDE,GRAIL FRANKENSTEIN,GUNFIGHT MOON,INNOCENT USUAL,INTENTIONS EMPIRE,INTRIGUE WORST,JINGLE SAGEBRUSH,KISSING DOLLS,LION UNCUT,MONTEREY LABYRINTH,MOVIE SHAKESPEARE,NORTHWEST POLISH,OSCAR GOLD,SLEEPY JAPANESE,SPIRITED CASUALTIES,SPLASH GUMP,SWARM GOLD,WORKING MICROCOSMOS"
BANKS,"ALAMO VIDEOTAPE,BLADE POLISH,BROTHERHOOD BLANKET,CHAINSAW UPTOWN,CYCLONE FAMILY,DADDY PITTSBURGH,DANCES NONE,DAY UNFAITHFUL,DEER VIRGINIAN,FACTORY DRAGON,FLIGHT LIES,GREATEST NORTH,HOOSIERS BIRDCAGE,HORN WORKING,IDOLS SNATCHERS,INNOCENT USUAL,MALKOVICH PET,MOON BUNCH,MOULIN WAKE,NEIGHBORS CHARADE,ROSES TREASURE,SATURDAY LAMBS,SEABISCUIT PUNK,USUAL UNTOUCHABLES,VARSITY TRIP,ZORRO ARK"
BARBEE,"BADMAN DAWN,BARBARELLA STREETCAR,BEHAVIOR RUNAWAY,BRIGHT ENCOUNTERS,BROTHERHOOD BLANKET,BUCKET BROTHERHOOD,CHAINSAW UPTOWN,CHRISTMAS MOONSHINE,DESTINY SATURDAY,DISCIPLE MOTHER,EARLY HOME,GRAPES FURY,HOMICIDE PEACH,HUSTLER PARTY,HYDE DOCTOR,INSIDER ARIZONA,LOVE SUICIDES,MAGIC MALLRATS,MOURNING PURPLE,NECKLACE OUTBREAK,NOON PAPI,ROUGE SQUAD,SEABISCUIT PUNK,SWARM GOLD,SWEET BROTHERHOOD,TENENBAUMS COMMAND"
BARCLAY,"ATTACKS HATE,BREAKFAST GOLDFINGER,CADDYSHACK JEDI,CHRISTMAS MOONSHINE,CLONES PINOCCHIO,CYCLONE FAMILY,DAWN POND,DISCIPLE MOTHER,DISTURBING SCARFACE,DIVIDE MONSTER,DOUBTFIRE LABYRINTH,FATAL HAUNTED,GATHERING CALENDAR,HALLOWEEN NUTS,HARRY IDAHO,HEAD STRANGER,LUCK OPUS,MAIDEN HOME,MICROCOSMOS PARADISE,NEMO CAMPUS,NETWORK PEAK,PATRIOT ROMAN,POND SEATTLE,POND SEATTLE,RIDGEMONT SUBMARINE,ROBBERS JOON,ROUGE SQUAD,SATISFACTION CONFIDENTIAL,SHOCK CABIN,SNATCH SLIPPER,SUN CONFESSIONS,SUSPECTS QUILLS"
BARFIELD,"APOCALYPSE FLAMINGOS,BIRD INDEPENDENCE,CHAMPION FLATLINERS,CHARADE DUFFEL,CHARIOTS CONSPIRACY,DANCING FEVER,DANGEROUS UPTOWN,DARLING BREAKING,ELEMENT FREDDY,EXORCIST STING,FALCON VOLUME,GANGS PRIDE,GIANT TROOPERS,GLEAMING JAWBREAKER,GONE TROUBLE,HALLOWEEN NUTS,HAUNTING PIANIST,JOON NORTHWEST,LOATHING LEGALLY,MASSACRE USUAL,MUMMY CREATURES,PRESIDENT BANG,SHAKESPEARE SADDLE,SOUP WISDOM,STING PERSONAL,STORY SIDE,SWEETHEARTS SUSPECTS,TOMORROW HUSTLER,WATCH TRACY,WHALE BIKINI,WRONG BEHAVIOR,ZORRO ARK"
BARKLEY,"BINGO TALENTED,CINCINATTI WHISPERER,CLUB GRAFFITI,DRACULA CRYSTAL,DREAM PICKUP,FLYING HOOK,GREEDY ROOTS,HANOVER GALAXY,HEAVYWEIGHTS BEAST,HOMEWARD CIDER,INDEPENDENCE HOTEL,LOVERBOY ATTACKS,MASK PEACH,MILLION ACE,NORTHWEST POLISH,PARK CITIZEN,POCUS PULP,PULP BEVERLY,PURPLE MOVIE,REQUIEM TYCOON,SENSIBILITY REAR,SHOW LORD,SWEETHEARTS SUSPECTS,WORKING MICROCOSMOS"
BARNES,"ANONYMOUS HUMAN,ARACHNOPHOBIA ROLLERCOASTER,BARBARELLA STREETCAR,CHARADE DUFFEL,CONEHEADS SMOOCHY,GRAFFITI LOVE,LOLA AGENT,MARRIED GO,MOONSHINE CABIN,ORANGE GRAPES,PARTY KNOCK,PATRIOT ROMAN,PATTON INTERVIEW,SCISSORHANDS SLUMS,SPICE SORORITY,STAMPEDE DISTURBING,STEEL SANTA,STING PERSONAL,SUN CONFESSIONS,TEMPLE ATTRACTION,TRANSLATION SUMMER,VARSITY TRIP"
BARNETT,"AIRPORT POLLOCK,ALASKA PHANTOM,BLADE POLISH,CAMPUS REMEMBER,CAROL TEXAS,CHAINSAW UPTOWN,CHICAGO NORTH,COAST RAINBOW,CONGENIALITY QUEST,DATE SPEED,DRUMS DYNAMITE,EARTH VISION,GILMORE BOILED,HALLOWEEN NUTS,HAUNTING PIANIST,HOMICIDE PEACH,HOUSE DYNAMITE,HUMAN GRAFFITI,IMPOSSIBLE PREJUDICE,ISLAND EXORCIST,PEAK FOREVER,RUSH GOODFELLAS,SCARFACE BANG,SEA VIRGIN,SIERRA DIVIDE,SPY MILE,TEEN APOLLO,VIRGINIAN PLUTO,WOMEN DORADO,ZORRO ARK"
BARRETT,"ALAMO VIDEOTAPE,ATTACKS HATE,CAROL TEXAS,CHILL LUCK,CIRCUS YOUTH,CLYDE THEORY,COMA HEAD,CROSSROADS CASUALTIES,DOOM DANCING,EAGLES PANKY,FANTASIA PARK,GOLDMINE TYCOON,INNOCENT USUAL,MAIDEN HOME,MATRIX SNOWMAN,MOONWALKER FOOL,QUEEN LUKE,SATURDAY LAMBS,SHANGHAI TYCOON,SPLENDOR PATTON,STEERS ARMAGEDDON,TRIP NEWTON,TRIP NEWTON,UPTOWN YOUNG,VIRGINIAN PLUTO,WESTWARD SEABISCUIT,WHISPERER GIANT"
BATES,"AMISTAD MIDSUMMER,BEAST HUNCHBACK,BUGSY SONG,CASABLANCA SUPER,CHEAPER CLYDE,CLUB GRAFFITI,CLUELESS BUCKET,CREEPERS KANE,EARTH VISION,EFFECT GLADIATOR,ELIZABETH SHANE,ENEMY ODDS,ENGLISH BULWORTH,FACTORY DRAGON,FANTASY TROOPERS,FLINTSTONES HAPPINESS,GANDHI KWAI,GARDEN ISLAND,GHOSTBUSTERS ELF,GILMORE BOILED,HIGHBALL POTTER,HOMICIDE PEACH,LIES TREATMENT,LOSE INCH,MUSIC BOONDOCK,OUTBREAK DIVINE,POLISH BROOKLYN,PRIDE ALAMO,ROSES TREASURE,RUNAWAY TENENBAUMS,SATISFACTION CONFIDENTIAL,SEABISCUIT PUNK,SINNERS ATLANTIS,TELEGRAPH VOYAGE,VAMPIRE WHALE,WASH HEAVENLY,WORLD LEATHERNECKS,ZORRO ARK"
BAUGH,"ARMAGEDDON LOST,BINGO TALENTED,BOOGIE AMELIE,BORN SPINAL,CHARIOTS CONSPIRACY,DARKNESS WAR,EDGE KISSING,FARGO GANDHI,FEUD FROGMEN,FLATLINERS KILLER,FLATLINERS KILLER,FLATLINERS KILLER,FLYING HOOK,GANDHI KWAI,HAROLD FRENCH,KILLER INNOCENT,NETWORK PEAK,NORTH TEQUILA,OPERATION OPERATION,OSCAR GOLD,PACKER MADIGAN,POTTER CONNECTICUT,SALUTE APOLLO,SEARCHERS WAIT,STEERS ARMAGEDDON,STORY SIDE,TITANS JERK,VOLCANO TEXAS"
BAUGHMAN,"ACADEMY DINOSAUR,BACKLASH UNDEFEATED,CAMELOT VACATION,CONFUSED CANDLES,DAISY MENAGERIE,EASY GLADIATOR,EGYPT TENENBAUMS,ENGLISH BULWORTH,GOLD RIVER,HELLFIGHTERS SIERRA,HOME PITY,IMAGE PRINCESS,LOATHING LEGALLY,OUTFIELD MASSACRE,PARADISE SABRINA,PIZZA JUMANJI,RACER EGG,SLEEPING SUSPECTS,SLEEPLESS MONSOON,TOWERS HURRICANE,WIFE TURN"
BELL,"BRIDE INTRIGUE,CHOCOLAT HARRY,COMMAND DARLING,DOLLS RAGE,DOOM DANCING,DOOM DANCING,DURHAM PANKY,EASY GLADIATOR,FEVER EMPIRE,FIDELITY DEVIL,GREASE YOUTH,HARPER DYING,HORROR REIGN,HUMAN GRAFFITI,HYSTERICAL GRAIL,ILLUSION AMELIE,INNOCENT USUAL,KWAI HOMEWARD,LANGUAGE COWBOY,LUST LOCK,MIDSUMMER GROUNDHOG,OPEN AFRICAN,RIDGEMONT SUBMARINE,ROCKY WAR,SHANGHAI TYCOON,SWEDEN SHINING,WIFE TURN"
BENNER,"BOILED DARES,BRAVEHEART HUMAN,BRIDE INTRIGUE,CHANCE RESURRECTION,DIVIDE MONSTER,DREAM PICKUP,DUCK RACER,ENEMY ODDS,EYES DRIVING,INTRIGUE WORST,LEGALLY SECRETARY,MAKER GABLES,MEET CHOCOLATE,MOVIE SHAKESPEARE,OZ LIAISONS,OZ LIAISONS,PANKY SUBMARINE,PATIENT SISTER,PERSONAL LADYBUGS,RINGS HEARTBREAKERS,SATISFACTION CONFIDENTIAL,SCALAWAG DUCK,STORY SIDE,TWISTED PIRATES"
BENNETT,"AMADEUS HOLY,ANYTHING SAVANNAH,BALLOON HOMEWARD,BEETHOVEN EXORCIST,CURTAIN VIDEOTAPE,DANCING FEVER,DARKNESS WAR,FACTORY DRAGON,FEUD FROGMEN,GUYS FALCON,HIGH ENCINO,LIAISONS SWEET,MAJESTIC FLOATS,MOTHER OLEANDER,MUSKETEERS WAIT,MYSTIC TRUMAN,NONE SPIKING,PAJAMA JAWBREAKER,PATRIOT ROMAN,PERFECT GROOVE,RANGE MOONWALKER,RESURRECTION SILVERADO,SIERRA DIVIDE,SMOOCHY CONTROL,VIDEOTAPE ARSENIC,VOYAGE LEGALLY,WANDA CHAMBER,WON DARES"
BERRY,"ALAMO VIDEOTAPE,BANGER PINOCCHIO,BOOGIE AMELIE,CAROL TEXAS,CLEOPATRA DEVIL,DARLING BREAKING,DWARFS ALTER,EFFECT GLADIATOR,ENGLISH BULWORTH,FICTION CHRISTMAS,FIDELITY DEVIL,FLINTSTONES HAPPINESS,HARPER DYING,HORN WORKING,HUNGER ROOF,INNOCENT USUAL,JEDI BENEATH,LOSE INCH,LOVER TRUMAN,MOON BUNCH,NAME DETECTIVE,PURE RUNNER,QUEEN LUKE,REAP UNFAITHFUL,RIDGEMONT SUBMARINE,ROBBERY BRIGHT,ROCK INSTINCT,SAGEBRUSH CLUELESS,SINNERS ATLANTIS,SPINAL ROCKY,SUIT WALLS,WEDDING APOLLO,WEST LION,WORST BANGER"
BESS,"ALIEN CENTER,BOULEVARD MOB,CADDYSHACK JEDI,CAROL TEXAS,CASUALTIES ENCINO,DYNAMITE TARZAN,EASY GLADIATOR,ENEMY ODDS,FIDDLER LOST,FISH OPUS,FRENCH HOLIDAY,GIANT TROOPERS,GUNFIGHT MOON,HONEY TIES,HOUSE DYNAMITE,KICK SAVANNAH,MIDNIGHT WESTWARD,PRIX UNDEFEATED,RANGE MOONWALKER,REUNION WITCHES,SONG HEDWIG,SPOILERS HELLFIGHTERS,STEEL SANTA,STEEL SANTA,VANISHED GARDEN,WAIT CIDER"
BETANCOURT,"AIRPORT POLLOCK,ANTITRUST TOMATOES,BRIDE INTRIGUE,CONQUERER NUTS,CONTACT ANONYMOUS,DESTINATION JERK,DETECTIVE VISION,ESCAPE METROPOLIS,FAMILY SWEET,FINDING ANACONDA,FROST HEAD,GLEAMING JAWBREAKER,GOLD RIVER,HANOVER GALAXY,HOOK CHARIOTS,HUSTLER PARTY,INSIDER ARIZONA,JUMPING WRATH,MALKOVICH PET,MUSCLE BRIGHT,OPERATION OPERATION,QUEST MUSSOLINI,SHANE DARKNESS,STATE WASTELAND,STING PERSONAL,SUNRISE LEAGUE,SUNSET RACER,VIRGIN DAISY,WANDA CHAMBER"
BILLINGSLEY,"ACADEMY DINOSAUR,BREAKING HOME,BROOKLYN DESERT,CRUSADE HONEY,GLEAMING JAWBREAKER,GOLDMINE TYCOON,HANOVER GALAXY,HIGH ENCINO,HOMICIDE PEACH,JAWBREAKER BROOKLYN,POTLUCK MIXED,ROCKETEER MOTHER,ROSES TREASURE,SHOOTIST SUPERFLY,SLIPPER FIDELITY,TRAMP OTHERS,WAGON JAWS,WYOMING STORM"
BISHOP,"ANACONDA CONFESSIONS,ATLANTIS CAUSE,CAMELOT VACATION,DRIFTER COMMANDMENTS,EFFECT GLADIATOR,FISH OPUS,GUN BONNIE,HAMLET WISDOM,ICE CROSSING,IDOLS SNATCHERS,IGBY MAKER,JERK PAYCHECK,LUCKY FLYING,MIDSUMMER GROUNDHOG,NASH CHOCOLAT,PAYCHECK WAIT,QUEST MUSSOLINI,ROCKY WAR,SHOCK CABIN,TORQUE BOUND,TOWERS HURRICANE,TRIP NEWTON,WORKING MICROCOSMOS"
